Name,ListName,IMO NO,MMSI
DS PROGRESS,Heidmar - Panamax,9268904,636092443
DS PROMOTER,Heidmar - Panamax,9252187,636092413
ESTIA,Heidmar - Panamax,9282778,352800000
LARVIK,Heidmar - Panamax,9307346,308371000
MINDORO STAR,Heidmar - Panamax,9441207, 538003490
NEW CHALLENGE,Heidmar - Panamax,9298284,538002086
PALAWAN STAR,Heidmar - Panamax,9401233,538003334
PLOUTOS,Heidmar - Panamax,9327023,309891000
QI LIN ZUO,Heidmar - Panamax,9435569,413172000
PGC ASPROPYRGOS,Penfield - Panamax,9283629,311702000
ATHENS STAR,Penfield - Panamax,9298313,232006316
AUGUSTA,Penfield - Panamax,9256236,538006645
AURORA N,Penfield - Panamax,9346445,373051000
CHEMTRANS MOON,Penfield - Panamax,9270488,636090886
CHEMTRANS SEA,Penfield - Panamax,9270490,636090747
FEDOR,Penfield - Panamax,9259317,538090308
GEORGIS NIKOLOS,Penfield - Panamax,9265732,240061000
KING DANIEL,Penfield - Panamax,9407287,538090316
KYRIAKOULA,Penfield - Panamax,9265720,636016121
LONDON STAR,Penfield - Panamax,9330343,636091196
LUMEN N,Penfield - Panamax,9346457,355364000
NEW CONSTELLATION,Penfield - Panamax,9308091,538002090
NEW CONQUEST,Penfield - Panamax,9308089, 538002089
PGC IKAROS,Penfield - Panamax,9283617,311707000
PGC MARINA,Penfield - Panamax,9299563,311000138
RADIANT SEA,Penfield - Panamax,9316244,538005443
SAND SHINER,Penfield - Panamax,9351440,538005358
SHARON SEA,Penfield - Panamax,9316232,636015749
COMPANION,Penfield - Panamax,9282625,311708000
THEO T,Penfield - Panamax,9262194,311538000
ORFEAS,Penfield - Panamax,9358917,309286000
CAPE TAURA,UPT - Panamax,9407251,538007911
CAPE TEMPEST,UPT - Panamax,9407263,538007910
CAPE TAFT,UPT - Panamax,9401221,538090363
CAPE TALLIN,UPT - Panamax,9441154,538003422
CAPE TEXEL,UPT - Panamax,9441192,538090383
CAPE TAMPA,UPT - Panamax,9441166,538090382
CAPE TEES,UPT - Panamax,9441180,538003549
CAPE TROY,UPT - Panamax,9570008,538004190
ANDES,Panamax Intl,9540819,209394000
ARIANE,Panamax Intl,9351464,636092552
AZTEC,Panamax Intl,9265354,372111000
CABO DE HORNOS,Panamax Intl,9311361,357628000
SEAWAYS HELLAS,Panamax Intl,9275725,538002269
CHANTAL,Panamax Intl,9382982,636014805
CHIMBORAZO,Panamax Intl,#N/A,#N/A
COMMANDER,Panamax Intl,9734692,311000392
CONFIDENCE,Panamax Intl,9280366,636012164
COTOPAXI,Panamax Intl,#N/A,#N/A
DANUBIA,Panamax Intl,9258466,636090950
EL JUNIOR PNT,Panamax Intl,9221657,538003673
HELLESPONT PROTECTOR,Panamax Intl,9351452,232012083
INCA,Panamax Intl,9256028,209890000
KERALA,Panamax Intl,9390927,636013350
NORSTAR INVICTUS,Panamax Intl,9374844,538007665
MAYA,Panamax Intl,9256016,212871000
SEAWAYS GOLDMAR,Panamax Intl,9239628, 538002278
SEAWAYS JADEMAR,Panamax Intl,9232606,538002275
SEAWAYS LEYTE,Panamax Intl,9470272,538004255
SEAWAYS LUZON,Panamax Intl,9301940,538002946
SEAWAYS PEARLMAR,Panamax Intl,9232591,538002274
SEAWAYS REYMAR,Panamax Intl,9275749,538002271
SEAWAYS ROSEMAR,Panamax Intl,9232620,538002277
SEAWAYS RUBYMAR,Panamax Intl,9232618,538002276
SEAWAYS SAMAR,Panamax Intl,9470284,538004375
SEAWAYS SILVERMAR,Panamax Intl,9239630,538002279
SEAWAYS VISAYAS,Panamax Intl,9301952,538002947
WORLD HARMONY,Panamax Intl,9382970,636014804
ALIGOTE,GTP - Panamax,9440497,538003857
ALTESSE,GTP - Panamax,9440473,538003856
ARAMON,GTP - Panamax,9440485,538003755
ASPROUDA,GTP - Panamax,9478729,538004832
ATHIRI,GTP - Panamax,9457763,538003994
GINNY,GTP - Panamax,9327011,636091470
HERMIONE,GTP - Panamax,9307944,636091469
LIA,GTP - Panamax,9584152,215218000
