Status,Vessel type,Hull No.,Type,Dwt,GT,Size,Unit,CGT,Built,Builder,Yard Status,Contract Date,Owner,Owner Group,NB Price,Currency
On Order,MR ,17121006,Chem & Oil,"49,000",,"49,000",DWT,"24,224",2019-12,Hudong Zhonghua,Established <2000,2016-Nov-01,Odfjell ASA,Odfjell ASA,60.00,$m
On Order,MR ,CX5002,Chem & Oil,"49,000",,"49,000",DWT,"24,224",2019-09,Hudong Zhonghua,Established <2000,2016-Nov-01,Odfjell ASA,Odfjell ASA,60.00,$m
On Order,MR ,CX5001,Chem & Oil,"49,000",,"49,000",DWT,"24,224",2020-03,Hudong Zhonghua,Established <2000,2016-Nov-01,Odfjell ASA,Odfjell ASA,60.00,$m
On Order,MR ,S1682,Chem & Oil,"50,000",,"50,000",DWT,"24,496",2019-,Wuchang SB Group,Established <2000,2016-Oct-25,Gulf Navigation,Gulf Navigation,,
On Order,MR ,N/A,Chem & Oil,"50,000",,"50,000",DWT,"24,496",2019-,Wuchang SB Group,Established <2000,2016-Oct-25,Gulf Navigation,Gulf Navigation,,
On Order,MR ,N/A,Chem & Oil,"50,000",,"50,000",DWT,"24,496",2019-,Wuchang SB Group,Established <2000,2016-Oct-25,Gulf Navigation,Gulf Navigation,,
On Order,MR ,S1683,Chem & Oil,"50,000",,"50,000",DWT,"24,496",2019-,Wuchang SB Group,Established <2000,2016-Oct-25,Gulf Navigation,Gulf Navigation,,
On Order,MR ,8243,Products,"44,500",,"44,500",DWT,"16,100",2018-10,GSI Nansha,Established >2010,2016-Jan-14,Dynacom Tankers Mgmt,Dynacom Tankers Mgmt,,
On Order,MR ,8244,Products,"45,000",,"45,000",DWT,"16,203",2018-10,Arctech Shipyard,Established >2010,2016-Jan-01,Dynacom Tankers Mgmt,Dynacom Tankers Mgmt,,
On Order,Handy ,8245,Chem & Oil,"38,500",,"38,500",DWT,"21,215",2018-11,Kitanihon Zosen,Established <2000,2015-Dec-01,Doun Kisen,Doun Kisen,,
On Order,MR ,8218,Chem & Oil,"49,751","29,256","49,751",DWT,"24,026",2018-12,Hyundai Mipo,Established <2000,2015-Dec-01,Cido Shipping,Cido Shipping,,
On Order,MR ,N/A,Chem & Oil,"49,751","29,256","49,751",DWT,"24,026",2018-12,Hyundai Mipo,Established <2000,2015-Dec-01,Cido Shipping,Cido Shipping,,
On Order,MR ,N/A,Chem & Oil,"40,400","25,000","40,400",DWT,"22,036",2019-12,Santierul Naval,Established <2000,2015-Nov-20,Histria Shipmgmt,Petromin Shpg. Co.,,
On Order,MR ,N/A,Chem & Oil,"40,400","25,000","40,400",DWT,"22,036",2019-06,Santierul Naval,Established <2000,2015-Nov-20,Histria Shipmgmt,Petromin Shpg. Co.,,
On Order,MR ,N/A,Chem & Oil,"50,000","29,447","50,000",DWT,"24,113",2019-02,JMU Maizuru Shipyard,Established >2010,2015-Nov-01,Nissen Kaiun,Nissen Kaiun,,
On Order,MR ,S467,Chem & Oil,"50,000","29,447","50,000",DWT,"24,113",2018-12,JMU Maizuru Shipyard,Established >2010,2015-Nov-01,Nissen Kaiun,Nissen Kaiun,,
On Order,MR ,S468,Chem & Oil,"50,000","29,447","50,000",DWT,"24,113",2019-11,JMU Maizuru Shipyard,Established >2010,2015-Nov-01,Nissen Kaiun,Nissen Kaiun,,
On Order,MR ,S1763,Chem & Oil,"50,000","29,447","50,000",DWT,"24,113",2018-09,JMU Maizuru Shipyard,Established >2010,2015-Nov-01,Nissen Kaiun,Nissen Kaiun,,
On Order,MR ,S1764,Chem & Oil,"50,000","29,447","50,000",DWT,"24,113",2019-05,JMU Maizuru Shipyard,Established >2010,2015-Nov-01,Nissen Kaiun,Nissen Kaiun,,
On Order,MR ,S1761,Chem & Oil,"50,000","29,447","50,000",DWT,"24,113",2019-07,JMU Maizuru Shipyard,Established >2010,2015-Nov-01,Nissen Kaiun,Nissen Kaiun,,
On Order,MR ,S1762,Products,"49,600",,"49,600",DWT,"17,127",2020-09,Onomichi Dockyd,Established <2000,2015-Nov-01,Unknown Japanese,Unknown Japanese,,
On Order,Handy ,2245,Chem & Oil,"39,000","25,500","39,000",DWT,"22,278",2018-11,YZJ Offshore,Established >2010,2015-Oct-16,Bangladesh Shipping,Bangladesh Shipping,,
On Order,Handy ,2636,Chem & Oil,"39,000","25,500","39,000",DWT,"22,278",2018-12,YZJ Offshore,Established >2010,2015-Oct-16,Bangladesh Shipping,Bangladesh Shipping,,
On Order,Handy ,2651,Chem & Oil,"39,000","25,500","39,000",DWT,"22,278",2018-12,YZJ Offshore,Established >2010,2015-Oct-16,Bangladesh Shipping,Bangladesh Shipping,,
On Order,MR ,S465,Products,"51,500",,"51,500",DWT,"17,498",2019-03,Shin Kurushima,Established <2000,2015-Oct-01,Unknown,Unknown,,
On Order,MR ,S466,Products,"51,500",,"51,500",DWT,"17,498",2019-08,Shin Kurushima,Established <2000,2015-Oct-01,Unknown,Unknown,,
On Order,MR ,15121035,Products,"51,500",,"51,500",DWT,"17,498",2019-09,Shin Kurushima,Established <2000,2015-Oct-01,Unknown,Unknown,,
On Order,MR ,15121037,Products,"51,500",,"51,500",DWT,"17,498",2019-04,Shin Kurushima,Established <2000,2015-Oct-01,Unknown,Unknown,,
On Order,MR ,15121034,Products,"51,500",,"51,500",DWT,"17,498",2019-06,Shin Kurushima,Established <2000,2015-Oct-01,Unknown,Unknown,,
On Order,MR ,15121036,Products,"51,500",,"51,500",DWT,"17,498",2019-11,Shin Kurushima,Established <2000,2015-Oct-01,Unknown,Unknown,,
On Order,MR ,S455,Products,"51,500",,"51,500",DWT,"17,498",2019-12,Shin Kurushima,Established <2000,2015-Oct-01,Unknown,Unknown,,
On Order,MR ,S457,Chem & Oil,"49,940","30,000","49,940",DWT,"24,361",2018-11,Samsung Ningbo,Established >2010,2015-Sep-18,Maersk Tankers,A.P. Moller Holding,,
On Order,MR ,S453,Chem & Oil,"49,940","30,000","49,940",DWT,"24,361",2019-02,Samsung Ningbo,Established >2010,2015-Sep-18,Maersk Tankers,A.P. Moller Holding,,
On Order,MR ,S454,Chem & Oil,"49,940","30,000","49,940",DWT,"24,361",2019-06,Samsung Ningbo,Established >2010,2015-Sep-18,Maersk Tankers,A.P. Moller Holding,,
On Order,MR ,S456,Chem & Oil,"49,940","30,000","49,940",DWT,"24,361",2018-10,Samsung Ningbo,Established >2010,2015-Sep-18,Maersk Tankers,A.P. Moller Holding,,
On Order,MR ,S458,Chem & Oil,"49,940","30,000","49,940",DWT,"24,361",2018-12,Samsung Ningbo,Established >2010,2015-Sep-18,Maersk Tankers,A.P. Moller Holding,,
On Order,MR ,S1680,Chem & Oil,"49,940","30,000","49,940",DWT,"24,361",2019-04,Samsung Ningbo,Established >2010,2015-Sep-18,Maersk Tankers,A.P. Moller Holding,,
On Order,MR ,S1681,Products,"49,600",,"49,600",DWT,"17,127",2020-10,Onomichi Dockyd,Established <2000,2015-Sep-01,Unknown Japanese,Unknown Japanese,,
On Order,Handy ,S459,Chem & Oil,"26,000",,"26,000",DWT,"17,095",2018-08,Shin Kurushima,Established <2000,2015-Aug-21,MOL Chemical Tankers,Mitsui O.S.K. Lines,,
On Order,MR ,S446,Chem & Oil,"51,000",,"51,000",DWT,"24,764",2018-09,Minaminippon (Ozai),Established <2000,2015-Aug-07,Asahi Tanker Co.,Mitsui O.S.K. Lines,,
On Order,MR ,N/A,Chem & Oil,"51,000",,"51,000",DWT,"24,764",2018-11,Minaminippon (Ozai),Established <2000,2015-Aug-07,Asahi Tanker Co.,Mitsui O.S.K. Lines,,
On Order,MR ,N/A,Products,"51,500",,"51,500",DWT,"17,498",2019-07,Shin Kurushima,Established <2000,2015-Aug-01,Unknown,Unknown,,
On Order,MR ,N/A,Products,"51,500",,"51,500",DWT,"17,498",2019-10,Shin Kurushima,Established <2000,2015-Aug-01,Unknown,Unknown,,
On Order,Handy ,S448,Chem & Oil,"35,000",,"35,000",DWT,"20,132",2020-01,Shin Kurushima,Established <2000,2015-Aug-01,Unknown,Unknown,,
On Order,Handy ,S450,Chem & Oil,"35,000",,"35,000",DWT,"20,132",2020-06,Shin Kurushima,Established <2000,2015-Aug-01,Unknown,Unknown,,
