Flag,VesselName,VoyageNo,EmploymentStatus,OpenPort,OpenPortDate,Cargo,RepositionPort,RepositionDate,CurrentStatus,Comments,DWT,Type,IceClass,CompleteGMT,UpdatedBy,ROWIDT,LastCargoGrade,CommenceGMT,Fkey_Dim_Vessel_Id,Fkey_Dim_Voyage_Id,Estimate,UID
NA,STI Brooklyn,36,Unfixed,CONAKRY,2019-02-10T05:50:46Z,Data Unavailable+CPP/GASOLINE/JET A1,CONAKRY,2019-02-09,Arrived Discharge Port,NA,49990,MR,NO,2019-02-10T05:50:46Z,rstudio,111,CPP,2019-02-02T13:00:00Z,1063,13824,1,1063_1549777846
NA,STI Grace,26,Unfixed,MAP TA PHUT,2019-02-23T14:22:55Z,CPP/ULSD 10 PPM/NAPHTHA,MAP TA PHUT,2019-02-09,In Laden Leg,NA,109999,LR2,No,2019-02-23T14:22:55Z,rstudio,112,CPP,2019-01-13T23:00:00Z,1068,13874,1,1068_1550931775
NA,ATRIA,4,Unfixed,ALGECIRAS,2019-02-16T18:04:37Z,CPP/GAS OIL/GASOLINE (OXY FREE)+GASOLINE,ALGECIRAS,2019-02-09,Arrived Discharge Port,NA,37583,HANDYMAX,NO,2019-02-16T18:04:37Z,rstudio,113,CPP,2019-02-02T09:00:00Z,1069,13392,1,1069_1550340277
NA,Kition M,9,Unfixed,MERAK,2019-02-28T09:00:00Z,GASOLINE/GASOLINE/GASOLINE,MERAK,2019-02-09,Arrived Load Port,NA,74995,LR1,-,2019-02-28T09:00:00Z,rstudio,114,CPP,2019-01-24T10:40:00Z,1074,13643,1,1074_1551344400
NA,Asterion,4,Unfixed,BALBOA,2019-02-09T20:30:00Z,FO/FO/CRUDE OIL,BALBOA,2019-02-09,Prompt,NA,37583,HANDYMAX,No,2019-02-09T20:30:00Z,rstudio,115,DPP,2019-02-09T20:30:00Z,1081,13388,0,1081_1549744200
NA,Parsifal II,16,Unfixed,BALBOA,2019-02-15T01:56:18Z,CPP/CPP/GAS OIL+CPP,BALBOA,2019-02-09,In Laden Leg,NA,37606,HANDYMAX,No,2019-02-15T01:56:18Z,rstudio,116,CPP,2019-01-24T01:42:00Z,1082,13669,1,1082_1550195778
NA,Conti Benguela,21,Unfixed,LEIXOES,2019-02-26T14:40:59Z,DPP/FO/FO,LEIXOES,2019-02-09,In Ballast Leg,NA,37652,HANDYMAX,NO,2019-02-26T14:40:59Z,rstudio,117,DPP,2019-01-31T10:36:00Z,1083,13061,1,1083_1551192059
NA,Conti Greenland,15,Unfixed,SAIDA,2019-02-10T05:56:30Z,GASOLINE/CPP/GASOLINE+JET A1,SAIDA,2019-02-09,Arrived Discharge Port,NA,37599,HANDYMAX,No,2019-02-10T05:56:30Z,rstudio,118,CPP,2019-01-24T15:30:00Z,1084,13504,1,1084_1549778190
NA,Gan-Trust(OP),3,Unfixed,RAS TANURA,2019-02-11T03:00:00Z,MTBE(CPP)/GAS OIL/GAS OIL,RAS TANURA,2019-02-09,Arrived Load Port,NA,51495,MR,N,2019-02-11T03:00:00Z,rstudio,119,CPP,2019-01-26T06:00:00Z,1086,13606,1,1086_1549854000
NA,Sunny Isles( OP),3,Unfixed,LE HAVRE,2019-03-08T23:00:00Z,ULSD 10 PPM/ULSD 10 PPM+JET A1,LE HAVRE,2019-02-09,Arrived Discharge Port,NA,50697.1,MR,NO,2019-03-08T23:00:00Z,rstudio,120,CPP,2019-02-02T09:30:00Z,1087,13789,1,1087_1552086000
NA,Advantage Party,4,Unfixed,THAMESHAVEN,2019-02-12T10:29:32Z,GASOLINE/GASOLINE/ULSD 10 PPM,THAMESHAVEN,2019-02-09,In Laden Leg,NA,37067,HANDYMAX,1A,2019-02-12T10:29:32Z,rstudio,121,CPP,2019-01-30T00:01:00Z,1094,13380,1,1094_1549967372
NA,Sunny Bay,20,Unfixed,LAGOS (NIGERIA),2019-02-22T01:00:00Z,GASOLINE/NAPHTHA/GASOLINE,LAGOS (NIGERIA),2019-02-09,In Laden Leg,NA,49990,MR,NO,2019-02-22T01:00:00Z,rstudio,122,CPP,2019-01-09T21:24:00Z,1095,13787,1,1095_1550797200
NA,ISOLDE,2,Unfixed,SAINT JOHN,2019-02-17T21:55:09Z,CPP/JET A1,SAINT JOHN,2019-02-09,In Laden Leg,NA,37527,HANDYMAX,No,2019-02-17T21:55:09Z,rstudio,123,CPP,2019-01-24T23:12:00Z,1096,13620,1,1096_1550440509
NA,STI Poplar,1,Unfixed,JORF LASFAR,2019-02-13T17:21:36Z,JET A1,JORF LASFAR,2019-02-09,In Laden Leg,NA,38464,HANDYMAX,NO,2019-02-13T17:21:36Z,rstudio,124,CPP,2019-02-01T08:42:00Z,1102,13948,1,1102_1550078496
NA,Utviken,1,Unfixed,ALGIERS,2019-02-15T13:32:19Z,CPP,ALGIERS,2019-02-09,Arrived Discharge Port,NA,37872,HANDYMAX,No,2019-02-15T13:32:19Z,rstudio,125,CPP,2019-02-03T18:00:00Z,1103,14019,1,1103_1550237539
NA,STI San Antonio,36,Unfixed,MIZUSHIMA,2019-02-28T15:00:00Z,CPP/CPP+Data Unavailable/GASOLINE,MIZUSHIMA,2019-02-09,In Laden Leg,NA,49990,MR,-,2019-02-28T15:00:00Z,rstudio,126,CPP,2019-01-03T13:30:00Z,1105,13967,1,1105_1551366000
NA,STI Osceola,41,Unfixed,BORDEAUX,2019-02-17T04:00:00Z,ULSD 10 PPM/GASOLINE/GASOLINE,BORDEAUX,2019-02-09,In Laden Leg,NA,49990,MR,NA,2019-02-17T04:00:00Z,rstudio,127,CPP,2019-01-09T02:48:00Z,1107,13667,1,1107_1550376000
NA,Aktea,1,Unfixed,PAJARITOS,2019-02-21T21:08:46Z,CPP,PAJARITOS,2019-02-09,Arrived Load Port,NA,44999,MR,-,2019-02-21T21:08:46Z,rstudio,128,CPP,2019-02-03T22:18:00Z,1111,13381,1,1111_1550783326
NA,STI Comandante,104,Unfixed,HAMBURG,2019-02-19T11:16:37Z,CPP/ULSD 10 PPM (FAME FREE)/GASOLINE,HAMBURG,2019-02-09,In Ballast Leg,NA,38464,HANDYMAX,Yes,2019-02-19T11:16:37Z,rstudio,129,CPP,2019-02-06T11:00:00Z,1112,13842,1,1112_1550574997
