Flag,VesselName,VoyageNo,EmploymentStatus,OpenPort,OpenPortDate,Cargo,RepositionPort,RepositionDate,CurrentStatus,Comments,DWT,Type,IceClass,CompleteGMT,UpdatedBy,ROWIDT,LastCargoGrade,CommenceGMT,Fkey_Dim_Vessel_Id,Fkey_Dim_Voyage_Id,Estimate,UID
NA,STI Steadfast,8,Unfixed,ROTTERDAM,2019-02-18T14:30:00Z,JET A1/GASOLINE/NAPHTHA,ROTTERDAM,2019-02-09,In Laden Leg,NA,109999,LR2,N/A,2019-02-18T14:30:00Z,rstudio,44,CPP,2019-01-07T05:54:00Z,932,13700,1,932_1550500200
NA,STI Oxford,27,Unfixed,YOSU,2019-02-16T03:00:00Z,NAPHTHA/ULSD 10 PPM/NAPHTHA,YOSU,2019-02-09,In Laden Leg,NA,109999,LR2,No,2019-02-16T03:00:00Z,rstudio,45,CPP,2018-12-31T09:00:00Z,933,13943,1,933_1550286000
NA,STI Park,26,Unfixed,ROTTERDAM,2019-03-09T18:51:00Z,CPP/GAS OIL/NAPHTHA,ROTTERDAM,2019-02-09,In Laden Leg,NA,109999,LR2,No,2019-03-09T18:51:00Z,rstudio,46,CPP,2019-02-07T08:30:00Z,934,13946,1,934_1552157460
NA,STI Savile Row,32,Unfixed,FUJAIRAH,2019-02-22T11:50:46Z,NAPHTHA/ULSD 10 PPM/NAPHTHA,FUJAIRAH,2019-02-09,Prompt,NA,109999,LR2,No,2019-02-22T11:50:46Z,rstudio,47,CPP,2019-01-30T23:12:00Z,935,13968,0,935_1548889920
NA,STI Sloane,32,Unfixed,ANTWERP,2019-02-11T08:00:00Z,ULSD 10 PPM/ULSD 10 PPM/NAPHTHA,ANTWERP,2019-02-09,In Laden Leg,NA,109999,LR2,No,2019-02-11T08:00:00Z,rstudio,48,CPP,2019-01-07T05:00:00Z,937,13972,1,937_1549872000
NA,STI Stability,10,Unfixed,SINGAPORE,2019-02-27T01:34:23Z,CPP/NAPHTHA/JET A1,SINGAPORE,2019-02-09,Arrived Discharge Port,NA,109999,LR2,N/A,2019-02-27T01:34:23Z,rstudio,49,CPP,2019-02-07T03:00:00Z,938,13998,1,938_1551231263
NA,STI Sanctity,8,Unfixed,JEBEL ALI,2019-02-09T22:00:00Z,CONDENSATE/GASOLINE/CONDENSATE,JEBEL ALI,2019-02-09,Arrived Discharge Port,NA,109999,LR2,N/A,2019-02-09T22:00:00Z,rstudio,50,CPP,2019-01-09T06:30:00Z,939,12997,1,939_1549749600
NA,STI Solidarity,9,Unfixed,AT SEA,2019-02-06T08:00:00Z,ULSD 10 PPM (FAME FREE)/GAS OIL/NAPHTHA,AT SEA,2019-02-09,Prompt,NA,109999,LR2,N/A,2019-02-06T08:00:00Z,rstudio,51,CPP,2019-02-04T06:00:00Z,940,12829,0,940_1549260000
NA,STI Symphony,7,Unfixed,CHIBA,2019-02-18T16:00:00Z,NAPHTHA/NAPHTHA/CPP,CHIBA,2019-02-09,In Laden Leg,NA,109999,LR2,N/A,2019-02-18T16:00:00Z,rstudio,52,CPP,2018-12-27T11:00:00Z,942,13327,1,942_1550505600
NA,STI Veneto,31,Unfixed,KARACHI,2019-02-12T07:00:00Z,GASOLINE/CONDENSATE/ULSD 10 PPM,KARACHI,2019-02-09,Arrived Discharge Port,NA,109999,LR2,No,2019-02-12T07:00:00Z,rstudio,53,CPP,2018-12-18T10:30:00Z,943,13004,1,943_1549954800
NA,STI Supreme,8,Unfixed,SINGAPORE,2019-02-10T12:00:00Z,ULSD 10 PPM/NAPHTHA/ULSD 10 PPM,SINGAPORE,2019-02-09,Arrived Discharge Port,NA,109999,LR2,No,2019-02-10T12:00:00Z,rstudio,54,CPP,2019-01-13T14:30:00Z,945,13969,1,945_1549800000
NA,STI Carnaby,26,Unfixed,ROTTERDAM,2019-03-10T08:24:00Z,CPP/NAPHTHA/GAS OIL,ROTTERDAM,2019-02-09,In Ballast Leg,NA,109999,LR2,No,2019-03-10T08:24:00Z,rstudio,55,CPP,2019-01-28T05:36:00Z,949,13832,1,949_1552206240
NA,STI Connaught,33,Unfixed,FUJAIRAH,2019-02-16T00:50:46Z,GAS OIL+ULSD 10 PPM/NAPHTHA/ULSD 10 PPM,FUJAIRAH,2019-02-09,Prompt,NA,109999,LR2,No,2019-02-16T00:50:46Z,rstudio,56,CPP,2019-02-05T11:00:00Z,950,13374,0,950_1549364400
NA,STI Condotti,30,Unfixed,SIDI KERIR,2019-02-10T07:23:05Z,ULSD 10 PPM/ULSD 10 PPM/NAPHTHA,SIDI KERIR,2019-02-09,Arrived Discharge Port,NA,109999,LR2,No,2019-02-10T07:23:05Z,rstudio,57,CPP,2018-12-23T05:00:00Z,951,13843,1,951_1549783385
NA,Dukhan,16,Unfixed,ARZEW,2019-02-14T20:46:09Z,GAS OIL/GAS OIL/GAS OIL,ARZEW,2019-02-09,Arrived Load Port,NA,40232.2,HANDYMAX,No,2019-02-14T20:46:09Z,rstudio,58,CPP,2019-02-03T20:30:00Z,952,13518,1,952_1550177169
NA,CPO England,86,Unfixed,KALININGRAD,2019-02-13T12:40:48Z,VGO/FO/LCO (HEAVY)+FO,KALININGRAD,2019-02-09,Prompt,NA,37313,HANDYMAX,Yes,2019-02-13T12:40:48Z,rstudio,59,DPP,2019-02-09T17:00:00Z,953,13541,0,953_1549731600
NA,CPO Finland,88,Unfixed,ST CROIX,2019-02-13T07:00:00Z,FO/VGO/FO,ST CROIX,2019-02-09,In Laden Leg,NA,37293,HANDYMAX,Yes,2019-02-13T07:00:00Z,rstudio,60,DPP,2019-01-22T18:00:00Z,954,13568,1,954_1550041200
NA,Stone I,36,Unfixed,LAVERA,2019-02-09T19:30:00Z,FO/FO/FO,LAVERA,2019-02-09,Arrived Discharge Port,NA,37889,HANDYMAX,Yes,2019-02-09T19:30:00Z,rstudio,61,DPP,2019-01-17T14:00:00Z,955,13617,1,955_1549740600
NA,Style,33,Unfixed,OFFSHORE MALTA,2019-02-22T21:36:55Z,DPP/FO/FO,OFFSHORE MALTA,2019-02-09,In Ballast Leg,NA,37923,HANDYMAX,Yes,2019-02-22T21:36:55Z,rstudio,62,DPP,2019-02-08T11:00:00Z,956,13619,1,956_1550871415
NA,CPO Italy,114,Unfixed,ARZEW,2019-02-24T05:18:00Z,CPP/NAPHTHA/GAS OIL+ULSD 10 PPM,ARZEW,2019-02-09,Arrived Load Port,NA,37282,HANDYMAX,Yes,2019-02-24T05:18:00Z,rstudio,63,CPP,2019-02-07T17:00:00Z,957,13631,1,957_1550985480
NA,CPO Norway,115,Unfixed,OFFSHORE MALTA,2019-02-11T15:50:46Z,FO/FO/FO,OFFSHORE MALTA,2019-02-09,In Laden Leg,NA,37321,HANDYMAX,Yes,2019-02-11T15:50:46Z,rstudio,64,DPP,2019-01-23T08:48:00Z,958,13663,1,958_1549900246
NA,Single,54,Unfixed,ROCKY POINT,2019-02-13T01:32:00Z,FO/VGO/FO,ROCKY POINT,2019-02-09,In Laden Leg,NA,37824,HANDYMAX,Yes,2019-02-13T01:32:00Z,rstudio,65,DPP,2019-01-24T08:00:00Z,959,13690,1,959_1550021520
NA,Silent,48,Unfixed,ROTTERDAM,2019-02-17T23:22:30Z,DPP/FO/FO,ROTTERDAM,2019-02-09,Arrived Load Port,NA,37847,HANDYMAX,"Yes,",2019-02-17T23:22:30Z,rstudio,66,DPP,2019-02-03T02:30:00Z,960,13692,1,960_1550445750
NA,STI Acton,88,Unfixed,AMSTERDAM,2019-02-22T16:41:43Z,CPP/NAPHTHA/NAPHTHA,AMSTERDAM,2019-02-09,In Ballast Leg,NA,38464,HANDYMAX,Yes,2019-02-22T16:41:43Z,rstudio,67,CPP,2019-02-06T14:35:00Z,962,13373,1,962_1550853703
NA,STI Battersea,83,Unfixed,JEBEL ALI,2019-02-18T20:59:26Z,GAS CONDENSATE/FO/FO,JEBEL ALI,2019-02-09,In Laden Leg,NA,38464,HANDYMAX,Yes,2019-02-18T20:59:26Z,rstudio,68,DPP,2018-10-01T01:30:00Z,963,13802,1,963_1550523566
NA,STI Brixton,91,Unfixed,ALGECIRAS,2019-02-10T04:00:00Z,FO/FO/FO,ALGECIRAS,2019-02-09,Arrived Discharge Port,NA,38734,HANDYMAX,Yes,2019-02-10T04:00:00Z,rstudio,69,DPP,2019-01-29T03:18:00Z,964,13818,1,964_1549771200
NA,CPO Russia,95,Unfixed,MALTA (GRAND HARBOUR),2019-02-20T10:45:42Z,DPP/FO/FO,MALTA (GRAND HARBOUR),2019-02-09,In Ballast Leg,NA,37296,HANDYMAX,Yes,2019-02-20T10:45:42Z,rstudio,70,DPP,2019-02-05T22:18:00Z,965,13683,1,965_1550659542
NA,Steel,35,Unfixed,THAMESHAVEN,2019-02-13T12:30:00Z,ULSD 10 PPM/GASOLINE/GAS OIL,THAMESHAVEN,2019-02-09,In Laden Leg,NA,37829,HANDYMAX,Yes,2019-02-13T12:30:00Z,rstudio,71,CPP,2019-01-23T15:48:00Z,966,13613,1,966_1550061000
NA,Sky,33,Unfixed,SINES,2019-02-13T11:41:32Z,DPP/FO/FO,SINES,2019-02-09,Arrived Load Port,NA,37859,HANDYMAX,Yes,2019-02-14T11:41:32Z,rstudio,72,DPP,2019-02-08T17:00:00Z,967,13376,1,967_1550144492
NA,CPO France,101,Unfixed,AGIOI THEODOROI,2019-02-16T22:45:41Z,CPP/ULSD 10 PPM (FAME FREE)/GAS OIL (FAME FREE),AGIOI THEODOROI,2019-02-09,In Laden Leg,NA,37304,HANDYMAX,Yes,2019-02-16T22:45:41Z,rstudio,73,CPP,2019-02-01T00:18:00Z,968,13590,1,968_1550357141
NA,STI Selatar,17,Unfixed,DUNKIRK,2019-02-13T00:00:00Z,ULSD 10 PPM/ULSD 10 PPM/NAPHTHA,DUNKIRK,2019-02-09,In Laden Leg,NA,109999,LR2,No,2019-02-13T00:00:00Z,rstudio,74,CPP,2019-01-24T13:48:00Z,969,12982,1,969_1550016000
NA,STI Spiga,36,Unfixed,YOSU,2019-02-25T23:07:37Z,NAPHTHA/ULSD 10 PPM/ULSD 10 PPM,YOSU,2019-02-09,In Laden Leg,NA,109999,LR2,No,2019-02-25T23:07:37Z,rstudio,75,CPP,2018-12-07T00:30:00Z,970,12993,1,970_1551136057
NA,STI Camden,76,Unfixed,ROSTOCK,2019-02-16T11:50:46Z,CPP/ULSD 10 PPM/ULSD 10 PPM,ROSTOCK,2019-02-09,Arrived Load Port,NA,38464,HANDYMAX,Yes,2019-02-16T11:50:46Z,rstudio,76,CPP,2019-02-07T16:00:00Z,971,13829,1,971_1550317846
NA,STI Hammersmith,80,Unfixed,AMSTERDAM,2019-02-14T21:17:18Z,CPP/ULSD 10 PPM (FAME FREE)/ULSD 10 PPM (FAME FREE),AMSTERDAM,2019-02-09,In Laden Leg,NA,38464,HANDYMAX,Yes,2019-02-14T21:17:18Z,rstudio,77,CPP,2019-02-02T14:18:00Z,973,13886,1,973_1550179038
NA,STI Wembley,78,Unfixed,BILBAO,2019-02-15T13:52:51Z,ULSD 10 PPM/ULSD 10 PPM (FAME FREE)/NAPHTHA,BILBAO,2019-02-09,In Laden Leg,NA,38734,HANDYMAX,Yes,2019-02-15T13:52:51Z,rstudio,78,CPP,2019-01-29T13:42:00Z,974,14014,1,974_1550238771
NA,STI Rotherhithe,84,Unfixed,FALMOUTH,2019-02-07T17:40:37Z,FO/FO/VGO,FALMOUTH,2019-02-09,Prompt,NA,38734,HANDYMAX,Yes,2019-02-07T17:40:37Z,rstudio,79,DPP,2019-01-27T03:36:00Z,975,13966,0,975_1548560160
NA,Jinan.,55,Unfixed,LAS PALMAS,2019-02-20T10:06:00Z,CPP/GASOLINE/NAPHTHA,LAS PALMAS,2019-02-09,Arrived Discharge Port,NA,40232,HANDYMAX,No,2019-02-20T10:06:00Z,rstudio,80,CPP,2019-02-04T03:00:00Z,976,13641,1,976_1550657160
NA,STI Fulham,64,Unfixed,BEIRUT,2019-02-18T00:58:42Z,CPP/GAS OIL/ULSD 10 PPM,BEIRUT,2019-02-09,Arrived Discharge Port,NA,38464,HANDYMAX,Yes,2019-02-18T00:58:42Z,rstudio,81,CPP,2019-02-05T09:18:00Z,977,13856,1,977_1550451522
NA,STI Topaz,75,Unfixed,KAWASAKI,2019-02-14T14:47:32Z,NAPHTHA/NAPHTHA/GAS OIL+JET A1,KAWASAKI,2019-02-09,Arrived Load Port,NA,49996,MR,NA,2019-02-14T14:47:32Z,rstudio,82,CPP,2019-02-04T10:48:00Z,978,13774,1,978_1550155652
NA,CPO Australia,22,Unfixed,EL PALITO,2019-02-19T13:00:00Z,GASOLINE/ULSD 10 PPM/ULSD 10 PPM,EL PALITO,2019-02-09,In Laden Leg,NA,51763,MR,No,2019-02-19T13:00:00Z,rstudio,83,CPP,2019-01-27T01:42:00Z,981,13431,1,981_1550581200
NA,CPO New Zealand,22,Unfixed,CIUDAD MADERO,2019-02-09T18:00:00Z,GASOLINE/GASOLINE/GASOLINE,CIUDAD MADERO,2019-02-09,Arrived Discharge Port,NA,51717,MR,No,2019-02-09T18:00:00Z,rstudio,84,CPP,2019-01-09T02:00:00Z,983,13664,1,983_1549735200
NA,STI St Charles,41,Unfixed,HOUSTON,2019-02-11T10:55:23Z,GASOLINE/ULSD 10 PPM (FAME FREE)/JET A1,HOUSTON,2019-02-09,Prompt,NA,49990,MR,N,2019-02-11T10:55:23Z,rstudio,85,CPP,2019-02-04T22:00:00Z,985,13370,0,985_1549317600
NA,STI Gallantry,4,Unfixed,CHENGXI,2019-03-07T12:30:00Z,NAPHTHA+Data Unavailable/ULSD 10 PPM/JET A1,CHENGXI,2019-02-09,Arrived Discharge Port,NA,109999,LR2,No,2019-03-07T12:30:00Z,rstudio,86,CPP,2018-10-02T09:18:00Z,986,12932,1,986_1551961800
NA,Lia,4,Unfixed,JUBAIL,2019-02-25T08:03:07Z,CPP/NAPHTHA/GASOLINE,JUBAIL,2019-02-09,Arrived Discharge Port,NA,73723,LR1,NA,2019-02-25T08:03:07Z,rstudio,87,CPP,2018-12-13T02:00:00Z,998,13645,1,998_1551081787
NA,STI Garnet,65,Unfixed,CAMPANA,2019-03-04T12:05:37Z,ULSD 10 PPM/GASOLINE/GASOLINE,CAMPANA,2019-02-09,Arrived Load Port,NA,49990,MR,NO,2019-03-04T12:05:37Z,rstudio,88,CPP,2019-01-27T16:00:00Z,1022,13738,1,1022_1551701137
NA,STI Clapham,70,Unfixed,FLUSHING,2019-02-10T21:27:42Z,NAPHTHA/ULSD 10 PPM/GASOLINE (OXY FREE),FLUSHING,2019-02-09,Prompt,NA,38464,HANDYMAX,Yes,2019-02-10T21:27:42Z,rstudio,89,CPP,2019-02-10T18:00:00Z,1024,13835,0,1024_1549821600
NA,STI Beryl,66,Unfixed,VAVOUTO,2019-02-19T21:38:05Z,GAS OIL/GASOLINE/NAPHTHA,VAVOUTO,2019-02-09,In Laden Leg,NA,49990,MR,-,2019-02-19T21:38:05Z,rstudio,90,CPP,2019-01-12T00:00:00Z,1025,13704,1,1025_1550612285
NA,STI Exceed,14,Unfixed,POINT TUPPER,2019-02-16T01:00:00Z,GASOLINE/CONDENSATE/GAS OIL,POINT TUPPER,2019-02-09,In Laden Leg,NA,74665,LR1,N/A,2019-02-16T01:00:00Z,rstudio,91,CPP,2018-12-25T03:12:00Z,1028,13551,1,1028_1550278800
NA,STI Excelsior,14,Unfixed,AQABA,2019-02-19T13:00:00Z,ULSD 10 PPM/GAS OIL+GASOLINE/CONDENSATE,AQABA,2019-02-09,In Laden Leg,NA,74665,LR1,N/A,2019-02-19T13:00:00Z,rstudio,92,CPP,2019-01-23T13:42:00Z,1030,13557,1,1030_1550581200
