spotId,Information,FixtureType,LCStart,LCEnd,LoadPort,DiscPort,VesselName,Charterer,Status,CargoType,CargoGrade,CargoQty,RateType,Rate,Comments,ReportDate,Source,Vesseltype
22,Market,Spot,10-08-2018,10-08-2018,NA,UKC,dong a thetis,Shell,Fixed,Clean/Cpp,Jet,90,Lumpsum,1900000.0,Null,03-08-2018,SSY,null
10,Market,Spot,12-08-2018,12-08-2018,s.kerir,MED,CHRYSALIS,Petroineos,Fixed,Dirty/Dpp,Crude,80,WS,115.0,Null,03-08-2018,Bravo Tankers,LR2
20,Market,Spot,11-08-2018,13-08-2018,SARROCH,ta,ARDMORE SEAFOX,SARAS,Subs,Clean/Cpp,UMS,37,WS,100.0,Null,03-08-2018,Howe Robinson,MR
2,Market,Spot,05-08-2018,07-08-2018,a r a,UKC,BRITISH CIRRUS,Exxon,Subs,Clean/Cpp,ULSD,30,WS,125.0,Subs,03-08-2018,Braemar,Handy
17,Market,Spot,15-08-2018,15-08-2018,CEYHAN,thai,SARASOTA A,UML,Subs,Dirty/Dpp,DPP,80,Lumpsum,2200000.0,Null,06-08-2018,Essex,LR2
23,Market,Spot,09-08-2018,09-08-2018,gulf castle,china,eafr,Unipec,Subs,Clean/Cpp,CPP,60,WS,RNR,Null,03-08-2018,SSY,null
21,Market,Spot,12-08-2018,13-08-2018,SKIKDA,brazil,SEAWAYS SKOPELOS,Petrobras,Failed,Clean/Cpp,Naptha,37,WS,115.0,Null,03-08-2018,Howe Robinson,MR
3,Market,Spot,12-08-2018,15-08-2018,BILBAO,ta,united ambassador,REPSOL,Subs,Dirty/Dpp,FO,55,WS,115.0,RPLC,03-08-2018,Braemar,null
18,Market,Spot,12-08-2018,13-08-2018,SKIKDA,brazil,SEAWAYS SKOPELOS,Petrobras,Subs,Clean/Cpp,Naptha,37,WS,115.0,Null,03-08-2018,Howe Robinson,MR
15,Market,Spot,08-08-2018,10-08-2018,scand,ta,AMAZON VIRTUE,Vitol,Fixed,Dirty/Dpp,VGO,55,WS,105.0,Null,03-08-2018,EA Gibson,LR1
8,Market,Spot,08-08-2018,08-08-2018,UKC,ta,ALPINE MOMENT,BP,Subs,Clean/Cpp,UMS,37,WS,100.0,LC Base Oil,03-08-2018,Clarksons,MR
1,Market,Spot,05-08-2018,06-08-2018,RIGA,UKC,HANS SCHOLL,BBNAFT,Subs,Clean/Cpp,Naptha,30,WS,125.0,Subs,03-08-2018,Braemar,MR
16,Market,Spot,15-08-2018,15-08-2018,cpc,ukcm,PAMISOS,Litasco,Subs,Dirty/Dpp,DPP,80,WS,RNR,Null,06-08-2018,Essex,LR2
9,Market,Spot,10-08-2018,10-08-2018,KAVKAZ,spore,cape balder,ST Shipping,Fixed,Dirty/Dpp,Crude,130,WS,67.5,Null,03-08-2018,Bravo Tankers,null
