tonnageId,EmploymentStatus,Owners,OpenPort,Operators,CargoType,Comment,ETABasis,OpenDate,ReportType,ReportTimestamp,RepositionRegion,Source,VesselName,Built,DWT,Cubics,LOA,ICE,SternLine,VesselType
5984,,Eletson Corporation,,tsakos,CPP,f.o.c. / subs,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,SALAMINA,2018,109898,82582,236,Yes,,
5998,,Prime Marine Mgmt,,prime marine,CPP,,30.01.20,14-Feb,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,LAKE STURGEON,2007,74993,84608,228,No,,
6034,,Hafnia Tankers,,straits tankers,CPP,,30.01.20,11-Feb,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,HAFNIA AFRICA,2010,74539,83152,228,No,,
6044,,BW Group,,bw group,CPP,subs,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,BW TAGUS,2017,74189,83959,228,No,,
6050,,Kyoei Tanker,,nyk line,,hold,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,CHAMPION PLEASURE,2008,105852,113305,241,No,,
6060,,Kyklades Maritime,,kyklades,,ex wafr / poss,30.01.20,10-Feb,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,NISSOS CHRISTIANA,2015,114264,127900,252,No,,
5961,,United Arab Shipping,2-feb,straits tankers,CPP,ex paki / subs,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,UACC IBN SINA,2008,73338,84121,228,No,,
5971,,Nakata Maritime,9-feb,nakata gumi,CPP,ex east,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,MORNING IBIS,2014,79996,91554,219,No,,
6114,,Mitsui O.S.K. Lines,,mitsui,DPP,,30.01.20,15-Feb,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,HAIMA,2009,110046,120990,245.5,No,,
6120,,Mitsui O.S.K. Lines,,straits tankers,DPP,,30.01.20,17-Feb,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,RAYSUT,2009,99995,123715,244,No,,
6058,,Shpg Corp of India,9-feb,Scorpio,,ex rsea,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,SWARNA KAMAL,2010,104903,116342,244,No,,
6068,,Valles Steamship,,valles steamship canada,,Unc.berth.sched,30.01.20,15-Feb,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,SEAODYSSEY,2017,113176,123753,250,No,,
5958,,Ocean Tankers,1-feb,xihe holdings,CPP,f.o.c. / subs,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,HONG ZE HU,2007,73972,81291,230,No,,
5968,,Meiji Shipping Co,7-feb,straits tankers,CPP,,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,MARITINA,2006,74999,84608,228,No,,
6102,,Maersk,,Maersk,DPP,,30.01.20,15-Feb,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,MAERSK PROGRESS,2005,109181,117921,245,No,,
6004,,United Arab Shipping,,straits tankers,CPP,ex brazil,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,UACC EAGLE,2009,73410,84013,229,No,,
6010,,BW Group,,bw group,CPP,,30.01.20,17-Feb,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,BW COLUMBIA,2007,76565,83687,228,No,,
6117,,,,,DPP,,30.01.20,10-Feb,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,aldana,2018,157000,165000,,,,
6020,,China COSCO Shipping,,china shipping,CPP,unc.,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,KONG QUE ZUO,2011,75588,80549,228,Yes,,
6071,,Rizhao Steel,,rising stella investment,DPP,,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,SABETTA,2017,109986,123508,245,No,,
6085,,Scorpio Group,,Scorpio,DPP,,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,STI SAVILE ROW,2015,109999,127851,250,No,,
